Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-150901-26527,WIK/AB + MO1-alcamb,dorsal convergence,ZDB-PUB-091221-5,alcamb,Embryo
ZDB-FISH-150901-26527,WIK/AB + MO1-alcamb,forebrain neural keel,ZDB-PUB-091221-5,alcamb,Nervous
ZDB-FISH-150901-26530,s356tTg + MO1-alcamb,neuron differentiation,ZDB-PUB-090106-20,alcamb,Nervous
ZDB-FISH-150901-26530,s356tTg + MO1-alcamb,retinal ganglion cell,ZDB-PUB-090106-20,alcamb,Nervous
ZDB-FISH-150901-26530,s356tTg + MO1-alcamb,retinal ganglion cell axon guidance,ZDB-PUB-090106-20,alcamb,Nervous
ZDB-FISH-150901-26530,s356tTg + MO1-alcamb,axonogenesis involved in innervation,ZDB-PUB-090106-20,alcamb,Nervous
ZDB-FISH-240703-1,arid1b<sup>y607/y607</sup>,swimming behavior,ZDB-PUB-230608-41,arid1b,Whole organism
ZDB-FISH-240703-1,arid1b<sup>y607/y607</sup>,social behavior,ZDB-PUB-230608-41,arid1b,Whole organism
ZDB-FISH-150901-15086,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/+</sup>,whole organism,ZDB-PUB-140410-16,brca2,Whole organism
ZDB-FISH-150901-15828,brca2<sup>hg5/+</sup>; tp53<sup>zdf1/zdf1</sup>,peripheral nervous system,ZDB-PUB-101027-46,brca2,Nervous
ZDB-FISH-150901-15828,brca2<sup>hg5/+</sup>; tp53<sup>zdf1/zdf1</sup>,ovary,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-17807,brca2<sup>hg5/+</sup>; tp53<sup>zdf1/+</sup>,peripheral neuron,ZDB-PUB-140410-16,brca2,Nervous
ZDB-FISH-150901-18024,brca2<sup>zm00057434Tg</sup>,testis,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-150901-24057,brca2<sup>hg5/hg5</sup>,male meiotic nuclear division,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24057,brca2<sup>hg5/hg5</sup>,spermatogenesis,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24057,brca2<sup>hg5/hg5</sup>,female gonad development,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24057,brca2<sup>hg5/hg5</sup>,female sex determination,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24057,brca2<sup>hg5/hg5</sup>,spermatocyte,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24927,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup>,oocyte,ZDB-PUB-101027-46,brca2,Reproductive
ZDB-FISH-150901-24927,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup>,eye,ZDB-PUB-161124-6,brca2,Nervous
ZDB-FISH-150901-24927,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup>,coelom,ZDB-PUB-161124-6,brca2,Embryo
ZDB-FISH-150901-491,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,male organism,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-150901-491,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,female organism,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-150901-491,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,Sertoli cell,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-150901-491,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,gonad,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-150901-491,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,oocyte maturation,ZDB-PUB-110422-1,brca2,Reproductive
ZDB-FISH-180920-32,WT + MO1-brca2,intestine,ZDB-PUB-171204-20,brca2,Digestive
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,pronephric glomerulus development,ZDB-PUB-170607-8,brca2,Excretory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,pronephros,ZDB-PUB-170607-8,brca2,Excretory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,pronephric podocyte,ZDB-PUB-170607-8,brca2,Excretory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,interrenal primordium,ZDB-PUB-170607-8,brca2,Excretory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,heart,ZDB-PUB-170607-8,brca2,Circulatory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,podocyte,ZDB-PUB-180502-5,brca2,Excretory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,pericardium,ZDB-PUB-180502-5,brca2,Circulatory
ZDB-FISH-181227-13,brca2<sup>zf1074/zf1074</sup>,pleuroperitoneal cavity,ZDB-PUB-180502-5,brca2,Circulatory
ZDB-FISH-181227-15,brca2<sup>zm00057434Tg/zm00057434Tg</sup>,interrenal gland,ZDB-PUB-180502-5,brca2,Excretory
